Código;GT;Autores;Instituciones
0068 ;26. Sociología de los Cuerpos y las Emociones;"1Geni Francinelli; 1Geraldo Ferreira; 1Francisca Dos Santos; 1Fábio Gomes; 1Francisco De Assis Gomes; 1Maria De Lourdes Da Silva";1 - UFPB
0069 ;19. Acciones Colectivas y Movimientos Sociales;1Joallan Rocha;1 - Universidade Federal da Bahia
0070 ;05. Desarrollo Rural y cuestión agraria;1José Pedro Cabrera;1 - Universidad Federal de Tocantins
0071 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1Ayme Gabriela Buitron; 1Luz Carbajal";1 - UNIVERSIDAD PERUANA CAYETANO HEREDIA
0072 ;08. Desigualdad, Pobreza y Exclusión Social;1Maria José De Rezende;1 - Universidade Estadual de Londrina UEL
0074 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Noé Sánchez;1 - Escuela Nacional de Antropología e Historia
0075 ;17. Trabajo y Restructuración Productiva;1Martha Antonieta Díaz;1 - Universidad Autónoma del Estado de Hidalgo
0076 ;25. Integración Regional, Geopolítica y Desarrollo;1Milagros Elizabeth Erazo;1 - PUCP
0077 ;17. Trabajo y Restructuración Productiva;1Elaine Marlova Francisco;1 - UERJ
0081 ;06. Imaginarios Sociales y Memoria;"1Dalis Del Pilar Sierra; 1Ricardo Briseño";1 - Corporacion Universitaria Republicana
0084 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Alexandre Rocha;1 - Ambra College
0085 ;01. Ciencia, Tecnologías e Innovación;1Daniel Maurício Viana;1 - Universidade Federal de Pelotas (UFPel)
0086 ;03. Producción, Consumos Culturales y Medios de Comunicación;1David Cortés;1 - Universidad Pedagógica Nacional
0087 ;24. Sociología de la Educación y Políticas Educativas;1Luz Patricia Pardo;1 - Universidad Cooperativa de Colombia
0088 ;08. Desigualdad, Pobreza y Exclusión Social;1Joannes Paulus Silva Forte;"1 - Universidade Estadual Vale do Acaraú (UVA-Sobral-CE); Universidade Estadual de Campinas (UNICAMP); Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP)"
0089 ;05. Desarrollo Rural y cuestión agraria;1Clarissa Magalhães;1 - Universidade Federal do ABC
0090 ;18. Salud y Seguridad Social;"1Isael Durán; 1Juan Patricio Castro; 1Fernando López";1 - Universidad de Guadalajara
0091 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Cristóbal Mendoza;1 - Universidad Autónoma Metropolitana-Iztapalapa
0092 ;08. Desigualdad, Pobreza y Exclusión Social;"1Claudio Andrés Briceño; 1Julio Cesar Tereucán; 1Scarlet Andrea Hauri";1 - Universidad de la Frontera
0093 ;07. Desarrollo Territorial, Desigualdades y descentralización;1José Alvaro Hernández;1 - El Colegio de México
0095 ;26. Sociología de los Cuerpos y las Emociones;1Catalina María Tabares;1 - Instituto de Estudos Sociais e Políticos - UERJ
0096 ;24. Sociología de la Educación y Políticas Educativas;"1Benigno Benavides; 1Katia Celina Moreno";1 - Universidad Autónoma de Nuevo León
0097 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Mariana Celorio;1 - Universidad Iberoamericana
0098 ;06. Imaginarios Sociales y Memoria;1Alejandra Garcia;1 - UNJu / UNSa
0099 ;19. Acciones Colectivas y Movimientos Sociales;"1Hoyêdo Lins; 1Jonatan Muller";1 - UFSC
0101 ;12. sociología de la cultura, arte e interculturalidad;1Josué Beltrán;1 - El Colegio de San Luis, AC.
0102 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Lindalva Cruz; 1Joanacele Nobrega; 1Ligia Maria Cavalcante; 1Lindovon Pessoa; 1Emanoel Edson Fontes";1 - Faculdade Santa Maria-PB
0104 ;19. Acciones Colectivas y Movimientos Sociales;"1Jesús Hernández; 1Huber Rosales";1 - Universidad de El Salvador
0105 ;18. Salud y Seguridad Social;1Kênia Mara;1 - Instituto Federal de Santa Catarina
0106 ;13. Teoría Social y Pensamiento Latinoamericano;1Ana Beatriz Martins;1 - UERJ
0109 ;03. Producción, Consumos Culturales y Medios de Comunicación;"1Camila Damico; 1Marina Bay";1 - Universidade Federal Fluminense
0110 ;05. Desarrollo Rural y cuestión agraria;"1Joana Moura; 1Eucástila Anjos";1 - UFRN
0111 ;07. Desarrollo Territorial, Desigualdades y descentralización;"1Beatriz Machado; 1Douglas Mansur da Silva";1 - Universidade Federal de Viçosa
0112 ;05. Desarrollo Rural y cuestión agraria;1Marluse Maciel;1 - IFC
0113 ;06. Imaginarios Sociales y Memoria;1Alejandra Ojeda;1 - Universidad Latina de México
0114 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Ma. Martha Rincón; 2Rubén Jáuregui; 3Luis Alfredo Guzman";1 - Escuela de Ciencias de la Comunidad, Universidad Autónoma de Coahuila, Unidad Torreón México, 2 - Tecnologico Nacional de México- Instituto Tecnológico de la Laguna, 3 - Escuela de Ciencias de la Comunidad UAdeC Unidad Torreón
0115 ;03. Producción, Consumos Culturales y Medios de Comunicación;"1Ma. Martha Rincón; 2Rubén Jáuregui";1 - Escuela Ciencias De la Comunidad Universidad Autónoma de Coahuila unidad Torreón Coahuila, 2 - Tecnológico Nacional de México Instituto Tecnológico de la Laguna
0117 ;26. Sociología de los Cuerpos y las Emociones;"1Nevita Maria Franca Luna; 1Alexandre Ronaldo Da Maia";1 - Universidade Federal de Pernambuco - UFPE
0118 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1João Paulo Rufino; 1Gisley Carla Castro; 1Leandro Carlos De; 1Danielle Simone Da Silva; 1Christiane Fernades";1 - Universidade Ferderal Rural do Semi-Árido
0119 ;17. Trabajo y Restructuración Productiva;1Antonio Aravena;1 - Investigador
0120 ;17. Trabajo y Restructuración Productiva;1Laura Echavarría;1 - CINVESTAV
0122 ;19. Acciones Colectivas y Movimientos Sociales;"1Marcelo Ucelli; 2Yuri Macedo; 1Luciane Martins";1 - UNIVERSIDADE ESTÁCIO DE SÁ, 2 - Universidade Federal Fluminense - SEDU/ES
0123 ;26. Sociología de los Cuerpos y las Emociones;1Williane Juvêncio;1 - Universidade Federal da Paraíba - UFPB
0124 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Samira Marzochi;1 - Dep. de Sociologia - UFSCar
0125 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Derick Casagrande Santiago;1 - FESPSP
0126 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Cristovam Colombo Cirqueira;1 - Universidade Federal do Ceará
0127 ;06. Imaginarios Sociales y Memoria;"1Daniel Luciano; 1Shirlei Alexandra";1 - FACCAT
0131 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Hernán Riquelme;1 - Universidad Arturo Prat
0132 ;12. sociología de la cultura, arte e interculturalidad;1Valentina Paz Osses;1 - universidad alberto hurtado
0133 ;20. Sociología de la Religión;1Diego Giovanni;1 - Universidad Nacional de Colombia
0134 ;06. Imaginarios Sociales y Memoria;"1Lorena Antezana; 1Cristian Cabalin";1 - Universidad de Chile
0135 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Lilian Silva Do Amaral;1 - Universidade Federal de Goiás
0136 ;17. Trabajo y Restructuración Productiva;1Francisco Rafael Ostau De Lafont;1 - UNIVERSIDAD LIBRE DE COLOMBIA
0137 ;01. Ciencia, Tecnologías e Innovación;1Victoria Ugartemendia;1 - UBA
0138 ;12. sociología de la cultura, arte e interculturalidad;1Norma Molina;1 - Universidad Israel.
0139 ;05. Desarrollo Rural y cuestión agraria;"1Raúl Ivan Clavijo; 1Maria Victoria Giraldo; 1Laura Daniela Ballén";1 - Universidad Santo Tomás
0140 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1María Mazzoni; 1Pablo Schleifer";1 - Universidad Nacional del Comahue
0141 ;19. Acciones Colectivas y Movimientos Sociales;"1Amanda Motta; 1Marcio Caetano";1 - FURG
0142 ;05. Desarrollo Rural y cuestión agraria;1Raul Alejandro Betancourth;1 - El Colegio de la Frontera Sur
0143 ;17. Trabajo y Restructuración Productiva;1Ricardo Lara;1 - Universidade Federal de Santa Catarina (UFSC)
0144 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Juliano Varela De Oliveira Juliano;1 - Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano
0145 ;06. Imaginarios Sociales y Memoria;1Rosa Martha Romo;1 - Universidad de Guadalajara
0146 ;12. sociología de la cultura, arte e interculturalidad;1Flor Marina Bermúdez;1 - CESMECA/Universidad de Ciencias y Artes de Chiapas
0147 ;09. Estructura Social, Dinámica Demográfica y Migraciones;"1Fabiana Bocchicchio; 1Paulina Seivach; 1Cecila Roggi";1 - Investigadora independiente
0148 ;08. Desigualdad, Pobreza y Exclusión Social;1Ángela Victoria Alfaro;1 - Universidad Pedagógica
0150 ;08. Desigualdad, Pobreza y Exclusión Social;"1Silvia Regina Paes; 1Adriana Maria Silva";1 - Universidade Federal dos Vales do Jequitnhonha e Mucuri
0151 ;18. Salud y Seguridad Social;"1Silvia Regina Paes; 1Rosana Passos Cambraia; 1Marivaldo Aparecido De Carvalho; 1Eloízio Fernando Das Neves; 1Deiviany Santana Santos Lima";1 - Universidade Federal dos Vales do Jequitnhonha e Mucuri
0152 ;19. Acciones Colectivas y Movimientos Sociales;1Mariela Pena;1 - Universidad de Buenos Aires, Facultad de Filosofía y Letras/IIEGE/CONICET
0153 ;07. Desarrollo Territorial, Desigualdades y descentralización;1Juliano Varela De Oliveira Juliano;1 - Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano
0154 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Lucrecia Saltzmann;1 - NET/CONICET- GET/FLACSO
0155 ;18. Salud y Seguridad Social;"1Ana Sofia Solano; 1Stephanie Cordero";1 - UNA-Costa Rica
0156 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Luciano Dos Santos Diniz; 2Nayara Silva; 1Paulo Fernandes Sanches Junior; 3Maura Pardini Bicudo Veras";1 - Centro Federal de Educação Tecnológica de Minas Gerais – CEFET/MG, 2 - Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais, 3 - Pontifícia Universidade Católica de São Paulo – PUC/SP
0157 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Nayara Silva; 2Luciano Dos Santos Diniz";1 - Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais, 2 - Centro Federal de Educação Tecnológica de Minas Gerais – CEFET/MG
0158 ;17. Trabajo y Restructuración Productiva;"1Luciano Dos Santos Diniz; 1Gabriela Lopes De Souza; 1Jessica Dos Santos Fernandes";1 - Centro Federal de Educação Tecnológica de Minas Gerais – CEFET/MG
0159 ;08. Desigualdad, Pobreza y Exclusión Social;1Kiara Thais Castaman;1 - PUCP
0160 ;05. Desarrollo Rural y cuestión agraria;1Glaucio Marafon;1 - UERJ/IGEOG
0161 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Luciano Dos Santos Diniz; 1Paulo Fernandes Sanches Junior; 1Gabriel Santana; 1Isabela Alves";1 - Centro Federal de Educação Tecnológica de Minas Gerais (CEFET-MG)
0162 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Rogerio Proença Leite;1 - PPGS/UFS
0164 ;13. Teoría Social y Pensamiento Latinoamericano;1Priscila Martins Medeiros;1 - Universidade Federal de São Carlos
0165 ;20. Sociología de la Religión;1Amurabi Oliveira;1 - UFSC
0166 ;18. Salud y Seguridad Social;1Cristián Andrés Busta;1 - Programa de Doctorado en Ciencias Sociales, Universidad de Chile
0167 ;25. Integración Regional, Geopolítica y Desarrollo;1Gladys Karina Sanchez;1 - IISUABJO
0168 ;19. Acciones Colectivas y Movimientos Sociales;1Nadia Eslinda Castillo;1 - Universidad Iberoamericana Puebla
0169 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Edit Antal;1 - UNAM
0170 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Pedro Alarcon;1 - Flacso Ecuador
0171 ;07. Desarrollo Territorial, Desigualdades y descentralización;1Vanezza C. Escobar;1 - NINGUNA
0172 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Sérgio Da Silva;1 - Universidade de Brasília
0173 ;24. Sociología de la Educación y Políticas Educativas;"1Eumar Evangelista; 2Rildo Ferreira; 1Bruna Raphaela Silva; 1Anne Caroline Santana";"1 - UniEVANGÉLICA - Centro Universitário de Anápolis, 2 - UniEVANGÉLICA - Centro Universitário de Anápolis; UNIRV - Universidade de Rio Verde"
0174 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1Eumar Evangelista; 2Rildo Mourão; 1Karla Souza; 1Roberta Silva; 1Maria Tereza Oliveira";"1 - UniEVANGÉLICA - Centro Universitário de Anápolis, 2 - UniEVANGÉLICA - Centro Universitário de Anápolis; UNIRV - Universidade de Rio Verde"
0175 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1Eumar Evangelista; 2Rildo Mourão; 1Karla Souza; 1Roberta Silva; 1Maria Tereza Oliveira";"1 - UniEVANGÉLICA - Centro Universitário de Anápolis, 2 - UniEVANGÉLICA - Centro Universitário de Anápolis; UNIRV - Universidade de Rio Verde"
0176 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1Eumar Evangelista; 2Rildo Mourão; 1Karla Souza; 1Thamisa Feitosa; 1Lucas Aparecido";"1 - UniEVANGÉLICA - Centro Universitário de Anápolis, 2 - UniEVANGÉLICA - Centro Universitário de Anápolis; UNIRV - Universidade de Rio Verde"
0177 ;17. Trabajo y Restructuración Productiva;"1Eumar Evangelista; 2Rildo Mourão; 1Paulo Henrique Carvalho; 1Walter Jayme";"1 - UniEVANGÉLICA - Centro Universitário de Anápolis, 2 - UniEVANGÉLICA - Centro Universitário de Anápolis; UNIRV - Universidade de Rio Verde"
0180 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Eumar Evangelista; 2Rildo Mourão; 1Karla Souza; 1Carlos Henrique Conde; 1Bruno Vieira";"1 - UniEVANGÉLICA - Centro Universitário de Anápolis, 2 - UniEVANGÉLICA - Centro Universitário de Anápolis; UNIRV - Universidade de Rio Verde"
0181 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Alexandre Luís De;1 - Universidade de Caxias do Sul
0182 ;19. Acciones Colectivas y Movimientos Sociales;"1Eumar Evangelista; 2Rildo Mourão; 1Wanderson Ribeiro; 1Tiago Araújo";"1 - UniEVANGÉLICA - Centro Universitário de Anápolis, 2 - UniEVANGÉLICA - Centro Universitário de Anápolis; UNIRV - Universidade de Rio Verde"
0183 ;20. Sociología de la Religión;1Eumar Evangelista;1 - UniEVANGÉLICA - Centro Universitário de Anápolis
0184 ;24. Sociología de la Educación y Políticas Educativas;1Libertad Astrid Ramos;1 - Instituto de Estudios Educativos y Sindicales de América
0185 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Libertad Astrid Ramos;1 - Instituto de Estudios Educativos y Sindicales de América
0186 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Crismanda Maria;1 - Universidade Federal de Pernambuco (UFPE)
0187 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Gabriela Pacci; 1Natalia Magnone; 1Carla Calce";1 - Udelar, FCS, DTS
0188 ;07. Desarrollo Territorial, Desigualdades y descentralización;"1Carolina María Gonzalez Redondo; 2Danilo Rossi; 3María Cecilia Zapata";1 - IIGG/UBA, 2 - FFyL/UBA, 3 - IIGG-UBA / CONICET
0189 ;13. Teoría Social y Pensamiento Latinoamericano;"1Marcela Dillon; 2Fernando López Gil";1 - Universidad Austral, 2 - Universidad Nacional del Noroeste de la Provincia de Buenos Aires
0190 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Lilia Montali; 1Stella Silva Telles";1 - UNICAMP - Núcleo de Estudos de Políticas Públicas
0191 ;26. Sociología de los Cuerpos y las Emociones;1Debora Majul;1 - Licenciada en Psicología - Estudiante de Maestría en Intervención e Investigación Psicosocial - Universidad Nacional de Córdoba - Argentina
0192 ;17. Trabajo y Restructuración Productiva;1Moraes Silva Moraes;1 - UFSCar
0195 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Marion Daugeard; 2Marcel Bursztyn";1 - Doutoranda em Geografia no Centro de Pesquisa e Documentação das Américas (CREDA, Université Paris 3 - Sorbonne Nouvelle) em cotutela com o Centro de Desenvolvimento Sustentável (CDS, Universidade de Brasília), 2 - Professor no Centro de Desenvolvimento Sustentável (CDS, Universidade de Brasília)
0196 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Juan Carlos Gómez;1 - FLACSO-CHILE
0197 ;24. Sociología de la Educación y Políticas Educativas;1Humberto Fernandes;1 - UDELAR
0198 ;12. sociología de la cultura, arte e interculturalidad;1Humberto Alves Silva Junior;1 - Universidade Federal da Bahia (UFBA)
0199 ;17. Trabajo y Restructuración Productiva;"1Attila Barbosa; 1Juliani Orbem";1 - Universidade Federal de Pelotas
0200 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Joaquin Zajac;1 - Instituto de Investigaciones Gino Germani
0202 ;13. Teoría Social y Pensamiento Latinoamericano;1Maria Caroline Marmerolli;1 - PPGS / UNICAMP
0203 ;01. Ciencia, Tecnologías e Innovación;"1Marcia Soares; 2Flavio Astolpho Rezende; 1Sergio Ricardo Oliveira";1 - FIOCRUZ, 2 - FICORUZ
0204 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Maria Carman;1 - Instituto Germani (UBA)
0205 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Francisco Ernesto Fernando Ulloa;1 - Universidad de Chile
0206 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Caterine Galaz; 1Lelya Troncoso";1 - Universidad de Chile
0207 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Juan Bautista Lucca;1 - CONICET - UNR
0208 ;20. Sociología de la Religión;1María Eugenia Arduino;1 - Universidad de Buenos Aires
0209 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Maria Betânia Ribeiro Torres Torres; 1Eric Mateus Soares Dias Dias; 1Daisy Daniele Silva Silva";1 - UERN
0211 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1María Guadalupe Díaz;1 - FLACSO
0212 ;24. Sociología de la Educación y Políticas Educativas;"1Maria Lucivânia Dos Santos; 1Katharine Ninive Silva";1 - Universidade Federal de Pernambuco - UFPE
0213 ;08. Desigualdad, Pobreza y Exclusión Social;1Carlota Marisol García;1 - Universidad Autónoma del Estado de Hidalgo
0214 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Pablo Augusto Guerra;1 - UdelaR, Faculta de Derecho/RRLL
0215 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Abraham Osorio;1 - UAEMex
0216 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Natalia Clelia Suniga;1 - CONICET/UBA/IIGG
0217 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Jean Fabien;1 - UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP)
0218 ;24. Sociología de la Educación y Políticas Educativas;"1Johana Catalina Levin; 1Jesús Eduardo Canelón";1 - Universidad Centroccidental Lisandro Alvarado
0219 ;06. Imaginarios Sociales y Memoria;1Diego Alfredo Solsona;1 - Universidad de Magallanes
0221 ;05. Desarrollo Rural y cuestión agraria;1Beatriz Canabal;1 - UAM-Xochimilco, México
0223 ;24. Sociología de la Educación y Políticas Educativas;1María Eugenia Vicente;1 - Consejo Nacional de Investigaciones Científicas y Técnicas/Universidad Nacional de La Plata
0224 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Wendinorto Rivas;1 - UNIVERSIDAD MONSEÑOR OSCAR ARNULFO ROMERO
0226 ;08. Desigualdad, Pobreza y Exclusión Social;"1Durga Edelmira Ramirez; 2Edna Ramirez";1 - UNFV y UNMSM, 2 - UNMSM
0227 ;07. Desarrollo Territorial, Desigualdades y descentralización;1Durga Edelmira Ramirez;1 - UNFV
0228 ;25. Integración Regional, Geopolítica y Desarrollo;"1Adolfo Laborde; 2Marcela Maldonado Bodart";1 - Universidad Anáhuac, 2 - Universidad Autónoma de Baja California
0229 ;06. Imaginarios Sociales y Memoria;"1Ana Crhistina Vanali; 2Ricardo Costa De Oliveira";1 - UTFPR, 2 - UFPR
0230 ;08. Desigualdad, Pobreza y Exclusión Social;"1Pablo Nunes; 2Thais Lemos Duarte";1 - Universidade do Estado do Rio de Janeiro, 2 - Mecanismo Nacional de Prevenção e Combate a Tortura
0232 ;07. Desarrollo Territorial, Desigualdades y descentralización;1Francisco Durán;1 - Centro de Estudios Nacionales de Desarrollo Alternativo (CENDA)
